Column1,Brand,Product Code,Product Specification,Price,Inward Date,Dispatch Date,Quantity Sold,Customer Name,Customer Location,Region,Core Specification,Processor Specification,RAM,ROM,SSD
Laptop,Acer,D21FC96D,Treatment school wonder four hair say site father management sometimes turn product.,105601,23-11-2024,24-11-2024,7,Jessica Kelly,New Alex,Central,Ryzen 7,Ryzen 7,8GB,256GB,256GB
Mobile Phone,Motorola,D36FC48A,Dream statement weight whole both another building soldier husband.,47154,16-05-2024,24-05-2024,7,Diane Hernandez,Davidland,East,N/A,Snapdragon 7s,8GB,64GB,N/A
Mobile Phone,Vivo,F916C29C,Task international cost wear meet per information score clear hit improve.,30976,14-09-2024,06-11-2024,4,David Moss,Maysfurt,West,N/A,Snapdragon 7 Gen,8GB,64GB,N/A
Laptop,Sony,B63BD722,Mouth enter woman production election seem participant allow real field.,44983,25-09-2023,22-10-2023,7,Ryan Keith,Williammouth,North,Ryzen 7,Ryzen 7,6GB,1TB,512GB
Laptop,HP,7A7D582C,Prevent least study nearly candidate live vote yard on first exist while author.,57037,14-02-2024,05-03-2024,9,Elizabeth Walker,Benjaminstad,Central,Ryzen 3,Ryzen 3,4GB,64GB,2TB
Mobile Phone,Dell,202F0160,When pattern degree brother oil really one collection front toward.,140787,14-10-2024,07-12-2024,10,Elizabeth Martinez,Lake Victoriaborough,West,N/A,Samsung Exynos,8GB,64GB,N/A
Mobile Phone,Motorola,71166CDE,Interest back walk he everyone four current take.,91311,12-07-2024,27-08-2024,9,Heather Williams,New Willie,South,N/A,MediaTek Dimensity,6GB,1TB,N/A
Laptop,Oppo,485A5C78,Often store ahead front air language I.,46989,21-07-2023,26-07-2023,1,Cassandra Gray,Port Bethanystad,North,i3,i3,32GB,128GB,512GB
Mobile Phone,Motorola,9C5B4B5D,Day ok somebody song government loss according through reveal.,79796,16-08-2024,04-09-2024,4,Stefanie Cummings,North Matthew,Central,N/A,Snapdragon 8 Gen,12GB,512GB,N/A
Laptop,Motorola,D73F88BD,Beyond prove leader course career everything debate least.,43683,03-10-2023,30-11-2023,2,Larry Mcintyre,Port Edward,Central,Ryzen 7,Ryzen 7,12GB,512GB,512GB
Laptop,Google,33009991,Order city oil gun response trial.,16400,11-09-2024,02-10-2024,5,Robert Buchanan,Port Jaime,East,i9,i9,32GB,64GB,512GB
Laptop,iQOO,02F432C7,Write bad step speak his step area general over write.,98945,15-09-2024,22-09-2024,9,David Wilson,New Carolyn,East,Ryzen 7,Ryzen 7,32GB,128GB,1TB
Laptop,Sony,FA8058CE,Mean weight pass quickly blood eye time specific political your quite himself.,59820,11-08-2023,22-09-2023,10,Jacob Craig,Townsendfurt,South,i3,i3,12GB,64GB,256GB
Mobile Phone,iQOO,B8B7F759,Six example huge claim our political.,186946,08-01-2025,22-01-2025,1,Robin Clark,Jocelyntown,West,N/A,Snapdragon 7 Gen,32GB,512GB,N/A
Laptop,OnePlus,0539DBE6,Present plan none kitchen face nor western space ready indicate.,179263,14-12-2024,09-01-2025,1,David Kerr,Jamesville,North,i7,i7,6GB,256GB,256GB
Mobile Phone,Oppo,E1A031A2,Member statement city during shake product.,56221,26-10-2023,30-11-2023,8,Stephanie Miller,Nicolebury,East,N/A,Snapdragon 7 Gen,6GB,256GB,N/A
Laptop,Lenovo,5FB42BDF,Hotel skin rock improve treat actually check.,75700,10-02-2025,14-03-2025,7,John Tran,Pattonfurt,Central,i7,i7,4GB,128GB,1TB
Mobile Phone,Vivo,225E733B,She director any out live past require.,49282,16-01-2024,28-01-2024,2,Mary Bailey,South Laurieville,West,N/A,Samsung Exynos,4GB,128GB,N/A
Laptop,Samsung,D30F1287,Look general general exist how night skill impact face so window.,170771,06-09-2024,11-10-2024,8,Jason Townsend,Solisfort,West,i9,i9,8GB,256GB,1TB
Mobile Phone,Realme,268FC981,Ground coach threat all they participant unit bank it.,115800,19-10-2023,09-12-2023,4,Stephanie Snyder,West Jimmytown,Central,N/A,Snapdragon 7s,6GB,256GB,N/A
Laptop,Redmi,B5979456,Where society pressure team mission often surface agree network.,166260,17-02-2024,01-03-2024,8,Desiree Williams,Lindafort,North,Ryzen 9,Ryzen 9,16GB,256GB,512GB
Mobile Phone,Toshiba,1E646AC1,Catch itself energy rest ask president nature man arm cause after explain admit.,49902,18-04-2023,23-05-2023,8,Teresa Powers,Robertburgh,West,N/A,Snapdragon 8 Gen,6GB,256GB,N/A
Mobile Phone,Realme,7.50E+10,Mission particularly scientist group face learn air.,64818,09-08-2024,04-10-2024,9,Brandon Lopez,Aguirreton,East,N/A,Samsung Exynos,32GB,1TB,N/A
Mobile Phone,Apple,0C376DC0,Worker pretty lead agent there performance hold.,66597,21-11-2024,22-11-2024,10,Blake Fitzpatrick,New Sarafort,Central,N/A,Samsung Exynos,4GB,128GB,N/A
Laptop,iQOO,19CAFF55,Nation between phone weight accept up.,122030,15-10-2023,08-12-2023,6,Calvin James,North Albertmouth,South,i7,i7,6GB,256GB,512GB
Laptop,Apple,2E475456,Vote chance toward meeting manager hot music structure property hear plan usually.,150198,05-06-2023,27-07-2023,10,Michelle Ruiz,Longside,West,i3,i3,8GB,256GB,2TB
Mobile Phone,Motorola,06E841E7,Experience government use room over democratic natural protect image budget coach relate.,170391,24-04-2023,14-06-2023,2,Cole Roberson,West Amyshire,West,N/A,Snapdragon 7s,4GB,128GB,N/A
Laptop,Lenovo,EB21B3A6,Star outside rich rather item now owner seat turn when.,11333,22-04-2024,03-06-2024,7,Edward Smith,Delgadoburgh,West,Ryzen 7,Ryzen 7,16GB,128GB,1TB
Laptop,Asus,CED22D67,Could arrive then want base material hotel series.,108235,15-04-2024,25-05-2024,9,April Pena,Brandonfurt,Central,i7,i7,4GB,128GB,1TB
Laptop,Asus,B1538A92,Various from several interest writer mind condition TV your program into cup its.,134412,07-04-2024,19-04-2024,2,David Evans,East Thomasburgh,North,Ryzen 3,Ryzen 3,12GB,512GB,1TB
Laptop,HP,1C73DE0B,Politics could project fish trial explain citizen face consumer edge theory break positive.,20799,06-08-2024,30-09-2024,3,Christopher Mclaughlin,Stevenshire,East,i9,i9,16GB,512GB,256GB
Laptop,Asus,093C2823,Doctor law government teacher college early offer return.,172640,03-04-2023,19-04-2023,10,Shawn Bryant,South Matthew,South,i9,i9,12GB,512GB,2TB
Mobile Phone,Samsung,3F08E101,Statement other turn generation stop ground explain practice send challenge ask husband.,79563,19-06-2023,03-07-2023,3,Caroline Patterson,Port Ericaland,Central,N/A,Apple A-Series,16GB,256GB,N/A
Laptop,Apple,6951D855,Time level light any want material safe bring.,177532,16-06-2023,02-08-2023,7,Rachel Gillespie,Hooperfurt,Central,Ryzen 5,Ryzen 5,4GB,64GB,256GB
Mobile Phone,Acer,80768EC6,My reality let even still building.,149504,26-07-2024,10-09-2024,9,Jamie Olson,East Justin,West,N/A,MediaTek Dimensity,12GB,1TB,N/A
Mobile Phone,HP,EEBD8464,Worker who continue study remain certain chair impact thank analysis.,139545,25-06-2023,03-08-2023,6,Ebony Johnson,Santiagobury,West,N/A,Snapdragon 7 Gen,6GB,1TB,N/A
Laptop,Realme,D193092F,Doctor interest side population civil same.,146371,14-12-2024,28-01-2025,9,Jennifer Lawrence,West Douglas,North,i5,i5,32GB,64GB,512GB
Laptop,OnePlus,4600D2A7,Describe yes itself already hour yeah.,142648,23-07-2023,25-08-2023,1,Diane Lawrence,South Barbara,East,Ryzen 5,Ryzen 5,12GB,128GB,2TB
Mobile Phone,Huawei,B8AC59F5,Year such teach point form drive behind pull day these phone item.,188903,29-01-2025,30-03-2025,4,Kenneth Freeman,Matthewsfort,East,N/A,Snapdragon 7s,16GB,64GB,N/A
Mobile Phone,Redmi,5FC4B050,Respond far we first brother clear expect agreement inside rise while state sister.,65505,26-06-2024,22-08-2024,4,Nicholas Delgado MD,West Kellychester,South,N/A,MediaTek Helio,6GB,1TB,N/A
Laptop,Realme,6B3805A1,Only walk manage economic check rest with fight which.,108902,25-08-2024,22-09-2024,5,David Jones,Justinstad,West,i9,i9,6GB,512GB,2TB
Mobile Phone,Sony,3747FE76,Necessary remember bring certain move wife.,155702,27-08-2024,15-10-2024,7,Ellen Rodriguez,New Michellemouth,Central,N/A,Snapdragon 7 Gen,16GB,512GB,N/A
Mobile Phone,OnePlus,B1F6FCBC,City and listen give upon book.,58392,12-07-2024,04-09-2024,1,Shane Gonzalez,Daughertytown,South,N/A,Snapdragon 8 Gen,4GB,1TB,N/A
Mobile Phone,Nokia,3206C312,Result model think blood study may across.,115838,21-07-2024,29-08-2024,3,Kristin Lang MD,Lake Amandaton,South,N/A,Snapdragon 7 Gen,12GB,128GB,N/A
Laptop,Apple,5DA6F0DE,Learn right scientist like opportunity college actually floor.,8877,21-09-2024,05-11-2024,2,Carl Lewis,South Glennhaven,West,i3,i3,12GB,512GB,2TB
Mobile Phone,Lenovo,0AB6C496,Force these black source ask nice activity serve.,155591,30-01-2025,16-03-2025,7,John Hill,Veronicaport,North,N/A,MediaTek Dimensity,4GB,128GB,N/A
Mobile Phone,Redmi,547830F3,Nothing seem while case physical reflect improve grow.,94364,29-02-2024,23-04-2024,8,Daniel Harris,Willisfurt,Central,N/A,Snapdragon 7s,32GB,128GB,N/A
Laptop,HP,6EB45546,Somebody future standard evidence involve nature difference.,143110,30-01-2024,12-02-2024,3,Samantha Wood,Adammouth,West,i7,i7,16GB,256GB,512GB
Laptop,Sony,2BCF6285,Total between bring attention image tend because charge development day decade.,56929,13-11-2024,07-01-2025,2,Alice Gardner,Lake Monica,East,i9,i9,32GB,256GB,1TB
Mobile Phone,Huawei,897B1108,Me price avoid financial challenge final size poor mean.,11439,26-07-2023,23-09-2023,8,Tiffany Krueger,New Normamouth,South,N/A,Snapdragon 7s,12GB,64GB,N/A
Mobile Phone,OnePlus,BE326B71,Product nor law poor name operation ok growth article maintain.,130629,28-10-2023,12-11-2023,6,Jonathan Hill,West Ericbury,South,N/A,MediaTek Helio,32GB,256GB,N/A
Mobile Phone,Microsoft,3D77F3D1,Upon next economy protect church stage arrive close security ready town.,25237,11-10-2023,07-12-2023,7,Katherine Miller,Lake Phillipborough,East,N/A,Snapdragon 8 Gen,6GB,256GB,N/A
Mobile Phone,Motorola,D8F52A46,Make business consider ability full return home moment.,68715,25-04-2024,03-05-2024,5,Dustin Wilkins,Gouldville,West,N/A,Snapdragon 8 Gen,32GB,1TB,N/A
Mobile Phone,Realme,FF920FFF,Word its activity them move power she leg section identify citizen.,68955,23-03-2024,14-04-2024,3,Lonnie Rodriguez MD,Micheleshire,West,N/A,Apple A-Series,6GB,256GB,N/A
Laptop,Microsoft,B9A86E67,Else financial more direction art who soon main travel upon.,135581,20-01-2025,06-02-2025,1,Taylor Abbott,Martinberg,North,Ryzen 3,Ryzen 3,4GB,128GB,256GB
Laptop,iQOO,F5A7CFA3,Director standard forward method them lose past character condition.,7015,14-12-2023,04-02-2024,8,Kathleen Massey,New Kristieport,South,Ryzen 9,Ryzen 9,32GB,1TB,512GB
Laptop,Motorola,5BF1FB71,Article write bed field tree admit machine positive will enough.,162166,13-01-2024,14-02-2024,3,Janet Collins,North Ericfurt,West,Ryzen 7,Ryzen 7,32GB,128GB,2TB
Mobile Phone,Samsung,4170B497,Out past sea while yourself use foot vote begin difficult.,69590,26-04-2023,14-06-2023,7,Lauren Roberts,Davidtown,West,N/A,MediaTek Dimensity,6GB,256GB,N/A
Laptop,Nokia,23EBF79A,Position imagine sell else whose production.,118101,27-04-2023,23-06-2023,4,Sherry Martinez,Deckerton,West,i3,i3,4GB,128GB,2TB
Laptop,Realme,2A95D723,Politics eight compare coach mean agree.,150686,09-08-2023,18-08-2023,10,Andre Carroll,Matthewberg,North,i3,i3,32GB,256GB,1TB
Laptop,Vivo,10D09396,Happy at tax another speech physical could against.,128606,29-11-2023,17-12-2023,10,Theresa Todd,Jamesfort,East,Ryzen 7,Ryzen 7,8GB,1TB,256GB
Laptop,Asus,32D06DA0,List under turn section western trade oil.,71067,29-11-2024,05-12-2024,3,Katherine Crawford,New Jenniferview,West,Ryzen 3,Ryzen 3,12GB,64GB,1TB
Mobile Phone,Motorola,E1CC647B,Stand scene because wonder outside than dream base organization successful state.,154664,30-11-2024,05-12-2024,5,David Brewer,Lake Kellymouth,South,N/A,Snapdragon 8 Gen,6GB,512GB,N/A
Laptop,Apple,0B4C715A,Company company past help process along.,90665,06-03-2025,09-03-2025,9,Michelle Hardy,Davidberg,North,Ryzen 3,Ryzen 3,32GB,512GB,256GB
Mobile Phone,OnePlus,0EEB99D4,Movement page build trade cost article through never they along compare loss.,47125,23-09-2024,19-10-2024,9,Megan Beasley,Port Beverly,East,N/A,Snapdragon 7 Gen,6GB,128GB,N/A
Laptop,Acer,C8BAAC79,Need example raise large boy would figure per thank.,146114,26-12-2023,23-02-2024,4,Chelsea Horn,Aguilarshire,North,Ryzen 9,Ryzen 9,8GB,128GB,256GB
Laptop,Lenovo,3F399072,Radio wear air say star choice goal.,197075,26-09-2023,08-11-2023,8,Diane Palmer,Bellmouth,Central,i3,i3,16GB,512GB,2TB
Mobile Phone,Motorola,FCB65F1A,Than up item want run own sometimes speak high mean anything.,144987,12-07-2023,30-08-2023,8,Stephanie Stone,East Mirandaside,East,N/A,Snapdragon 7s,4GB,64GB,N/A
Mobile Phone,Motorola,4AEEAA37,Coach assume fund approach visit building strong.,41820,03-11-2023,27-11-2023,1,Samantha Turner,West Ronaldburgh,East,N/A,Snapdragon 8 Gen,4GB,256GB,N/A
Mobile Phone,Sony,D7C5C2A8,Building response capital account recognize cold actually.,56078,05-08-2024,19-09-2024,3,Brian Thomas,Walkerland,Central,N/A,Snapdragon 7s,32GB,512GB,N/A
Laptop,Realme,2C2BD7F6,Adult shoulder least leave fill join almost eye bag particularly million wife how.,100321,02-02-2025,26-02-2025,1,Michael Sullivan,Williamsstad,East,Ryzen 3,Ryzen 3,6GB,512GB,2TB
Laptop,OnePlus,25D47C7A,Represent far argue position thank natural whether south throw.,13588,09-10-2024,23-11-2024,7,Harold Nolan,Timothyburgh,West,i5,i5,16GB,64GB,256GB
Laptop,OnePlus,E9DB8534,Meet identify authority whose tax school east easy by election camera produce.,136309,17-02-2024,26-02-2024,1,Kyle Barron,Alexandriashire,East,i7,i7,16GB,256GB,512GB
